processed_at,source,destination,category,confidence,method,legal_domain,authority,title,metadata_path
2026-08-06T20:59:54.544709+00:00,D:\Nova Legal\Indian Legal\raw\GovAmendActPublis_51828E29_20145B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\GovAmendActPublis_51828E29_20145B15D.pdf,notifications,0.7091,rules,family_law,notification,"200 _. THE GAZETTE OF INDIA : EXTRAORDINARY _[Part I—SEc, 3(i)]",D:\Nova Legal\Indian Legal\Category\notifications\GovAmendActPublis_51828E29_20145B15D.pdf.metadata.json
2026-08-06T20:59:59.426667+00:00,D:\Nova Legal\Indian Legal\raw\GovEAPAmendmentAct2014_05B15D.pdf,D:\Nova Legal\Indian Legal\Category\amendment_acts\GovEAPAmendmentAct2014_05B15D.pdf,amendment_acts,0.776,rules,general_or_mixed,central_act,fsrect Be Eb Ter—(B7)04/0007/2003—14 REGISTERED NO. DL—(N)04/0007/2003—14,D:\Nova Legal\Indian Legal\Category\amendment_acts\GovEAPAmendmentAct2014_05B15D.pdf.metadata.json
2026-08-06T21:00:04.166733+00:00,D:\Nova Legal\Indian Legal\raw\GovernmentNationalCapitalTerritoryAct5B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\GovernmentNationalCapitalTerritoryAct5B15D.pdf,notifications,0.7382,rules,partnership_law,notification,THE GOVERNMENT OF NATIONAL CAPITAL TERRITORY,D:\Nova Legal\Indian Legal\Category\notifications\GovernmentNationalCapitalTerritoryAct5B15D.pdf.metadata.json
2026-08-06T21:00:06.730745+00:00,D:\Nova Legal\Indian Legal\raw\GovernmentUnionterritoriesAct19635B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\GovernmentUnionterritoriesAct19635B15D.pdf,notifications,0.7091,rules,partnership_law,notification,"THE GOVERNMENT OF UNION TERRITORIES ACT, 1963",D:\Nova Legal\Indian Legal\Category\notifications\GovernmentUnionterritoriesAct19635B15D.pdf.metadata.json
2026-08-06T21:00:17.878606+00:00,D:\Nova Legal\Indian Legal\raw\GOVERNORSEmoluments_Act19825B15D.pdf,D:\Nova Legal\Indian Legal\Category\central_acts\GOVERNORSEmoluments_Act19825B15D.pdf,central_acts,0.776,rules,family_law,central_act,"THE GOVERNORS (EMOLUMENTS, ALLOWANCES AND PRIVILEGES) ACT, 1982",D:\Nova Legal\Indian Legal\Category\central_acts\GOVERNORSEmoluments_Act19825B15D.pdf.metadata.json
2026-08-06T21:00:22.486762+00:00,D:\Nova Legal\Indian Legal\raw\GovrnorsActs26Rules_09082018_05B15D.pdf,D:\Nova Legal\Indian Legal\Category\rules\GovrnorsActs26Rules_09082018_05B15D.pdf,rules,0.744,rules,family_law,rules,"THE GOVERNORS (EMOLUMENTS, ALLOWANCES AND PRIVILEGES) ACT, 1982",D:\Nova Legal\Indian Legal\Category\rules\GovrnorsActs26Rules_09082018_05B15D.pdf.metadata.json
2026-08-06T21:00:27.193180+00:00,D:\Nova Legal\Indian Legal\raw\important_instructions_dhjs-2026.pdf,D:\Nova Legal\Indian Legal\Category\constitution_and_constitutional_documents\important_instructions_dhjs-2026.pdf,constitution_and_constitutional_documents,0.712,rules,family_law,constitution,Page 1 of 13,D:\Nova Legal\Indian Legal\Category\constitution_and_constitutional_documents\important_instructions_dhjs-2026.pdf.metadata.json
2026-08-06T21:00:49.671228+00:00,D:\Nova Legal\Indian Legal\raw\Investigation2520of2520High2520Quality2520Counterfeit2520Indian2520Currency2520Offences2520Rules2C252020135B15D.PDF,D:\Nova Legal\Indian Legal\Category\rules\Investigation2520of2520High2520Quality2520Counterfeit2520Indian2520Currency2520Offences2520Rules2C252020135B15D.PDF,rules,0.7184,rules,criminal_law,rules,TH} Yo Slo Ueo-33004/99 REGD. NO. D.L.-33004/99,D:\Nova Legal\Indian Legal\Category\rules\Investigation2520of2520High2520Quality2520Counterfeit2520Indian2520Currency2520Offences2520Rules2C252020135B15D.PDF.metadata.json
2026-08-06T21:00:52.078773+00:00,D:\Nova Legal\Indian Legal\raw\IPC18605B15D.pdf,D:\Nova Legal\Indian Legal\Category\bills\IPC18605B15D.pdf,bills,0.6831,rules,criminal_law,unknown,"THE INDIAN PENAL CODE, 1860",D:\Nova Legal\Indian Legal\Category\bills\IPC18605B15D.pdf.metadata.json
2026-08-06T21:01:06.893577+00:00,D:\Nova Legal\Indian Legal\raw\IS_IIActs_280820185B15D.pdf,D:\Nova Legal\Indian Legal\Category\amendment_acts\IS_IIActs_280820185B15D.pdf,amendment_acts,0.712,rules,family_law,central_act,~ F.No.11.(1)/2014-L.I,D:\Nova Legal\Indian Legal\Category\amendment_acts\IS_IIActs_280820185B15D.pdf.metadata.json
2026-08-06T21:01:09.221578+00:00,D:\Nova Legal\Indian Legal\raw\ITBP-Act19925B15D.pdf,D:\Nova Legal\Indian Legal\Category\central_acts\ITBP-Act19925B15D.pdf,central_acts,0.8052,rules,partnership_law,central_act,"THE INDO-TIBETAN BORDER POLICE FORCE ACT, 1992",D:\Nova Legal\Indian Legal\Category\central_acts\ITBP-Act19925B15D.pdf.metadata.json
2026-08-06T21:01:11.662900+00:00,D:\Nova Legal\Indian Legal\raw\ITBP-Rule-19945B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\ITBP-Rule-19945B15D.pdf,notifications,0.7091,rules,labour_and_employment_law,notification,MINISTRY OF HOME AFFAIRS,D:\Nova Legal\Indian Legal\Category\notifications\ITBP-Rule-19945B15D.pdf.metadata.json
2026-08-06T21:01:13.980678+00:00,D:\Nova Legal\Indian Legal\raw\j_03082026.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\j_03082026.pdf,unclassified,0.5376,rules,general_or_mixed,unknown,03.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\j_03082026.pdf.metadata.json
2026-08-06T21:01:16.108536+00:00,D:\Nova Legal\Indian Legal\raw\jud-03082026_odtt.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt.pdf,unclassified,0.0,rules,general_or_mixed,unknown,03.08.2026,D:\Nova Legal\Indian Legal\Category\unclassified\jud-03082026_odtt.pdf.metadata.json
