processed_at,source,confidence,top_scores,warnings
2026-08-06T21:06:20.871557+00:00,D:\Nova Legal\Indian Legal\raw\Pondicherry_Rule_180520175B15D.PDF,0.5217,"{""notifications"": 7.0, ""contracts_and_agreements"": 6.0, ""recruitment_and_examinations"": 4.8, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",Classification used first 15/21 pages.
2026-08-06T21:06:32.023587+00:00,D:\Nova Legal\Indian Legal\raw\PresidentPensionRulesupto2018_090820185B15D.pdf,0.5766,"{""notifications"": 7.0, ""recruitment_and_examinations"": 4.8, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:06:45.309757+00:00,D:\Nova Legal\Indian Legal\raw\pro_for_04.08.2026.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:06:47.499407+00:00,D:\Nova Legal\Indian Legal\raw\pro_for_06.08.2026.pdf,0.5376,"{""high_court_orders"": 3.2, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:07:17.029083+00:00,D:\Nova Legal\Indian Legal\raw\RepatriationRules20045B15D.pdf,0.5217,"{""notifications"": 7.0, ""contracts_and_agreements"": 6.0, ""gazette_publications"": 5.0, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0}",
2026-08-06T21:07:40.308837+00:00,D:\Nova Legal\Indian Legal\raw\RulesBharatRatna26PadmaAwards_0_0.pdf,0.584,"{""circulars"": 8.0, ""notifications"": 7.0, ""gazette_publications"": 5.0, ""forms_and_schedules"": 3.0, ""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0}",
2026-08-06T21:07:48.808968+00:00,D:\Nova Legal\Indian Legal\raw\Section220oftheFinanceAct_2018_091020205B15D.pdf,0.5947,"{""gazette_publications"": 6.0, ""central_acts"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:08:21.644250+00:00,D:\Nova Legal\Indian Legal\raw\STATE_EMBLEM_ACT2005.pdf,0.5968,"{""central_acts"": 8.5, ""circulars"": 8.0, ""government_guidelines"": 8.0, ""notifications"": 7.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:08:24.208478+00:00,D:\Nova Legal\Indian Legal\raw\StateEmblemRules-2010_05B15D.pdf,0.49,"{""rules"": 2.5, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",No useful text extracted.
2026-08-06T21:08:56.663894+00:00,D:\Nova Legal\Indian Legal\raw\The2520State2520Reorganisation2520Act25201956_2706145B15D.pdf,0.612,"{""ordinances"": 9.0, ""high_court_orders"": 9.0, ""central_acts"": 8.5, ""state_acts"": 7.0, ""notifications"": 7.0, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""amendment_acts"": 0.0}",Classification used first 15/74 pages.
